Pet ID,Name,Breed,Age,Shelter ID,Adoption Link,City_x,State_x,Shelter Name,City_y,State_y,Phone,Website
76440074,Little Pepe,Chihuahua,Adult,TX2896,https://www.petfinder.com/dog/little-pepe-76440074/tx/krum/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Krum,TX,Ruff Road Revival,Krum,TX,,https://www.petfinder.com/member/us/tx/krum/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76440023,Little Pepe,Chihuahua,Adult,TX2896,https://www.petfinder.com/dog/little-pepe-76440023/tx/highland-village/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Highland Village,TX,Ruff Road Revival,Krum,TX,,https://www.petfinder.com/member/us/tx/krum/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76440021,Weasel,Dachshund,Young,TX1223,https://www.petfinder.com/dog/weasel-76440021/tx/arlington/shelter2rescue-coalition-tx1223/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Arlington,TX,Shelter2Rescue Coalition,Arlington,TX,(214) 616-6128,https://www.petfinder.com/member/us/tx/arlington/shelter2rescue-coalition-tx1223/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76440020,Petunia,Corgi,Young,TX1223,https://www.petfinder.com/dog/petunia-76440020/tx/arlington/shelter2rescue-coalition-tx1223/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Arlington,TX,Shelter2Rescue Coalition,Arlington,TX,(214) 616-6128,https://www.petfinder.com/member/us/tx/arlington/shelter2rescue-coalition-tx1223/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76438778,Tori PKA Tory,Aussiedoodle,Adult,TX1568,https://www.petfinder.com/dog/tori-pka-tory-76438778/tx/dallas/codys-friends-rescue-tx1568/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Dallas,TX,Cody's Friends Rescue,Dallas,TX,,https://www.petfinder.com/member/us/tx/dallas/codys-friends-rescue-tx1568/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76438733,Little Pepe,Chihuahua,Adult,TX2896,https://www.petfinder.com/dog/little-pepe-76438733/tx/carrollton/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Carrollton,TX,Ruff Road Revival,Krum,TX,,https://www.petfinder.com/member/us/tx/krum/ruff-road-revival-tx2896/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76438730,Pippi,Black Mouth Cur,Young,TX854,https://www.petfinder.com/dog/pippi-76438730/tx/seven-points/humane-society-of-cedar-creek-lake-tx854/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Seven Points,TX,Humane Society of Cedar Creek Lake,Seven Points,TX,(903) 432-3422,https://www.petfinder.com/member/us/tx/seven-points/humane-society-of-cedar-creek-lake-tx854/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76438131,Chaz,Pit Bull Terrier,Adult,TX196,https://www.petfinder.com/dog/chaz-76438131/tx/richardson/richardson-humane-society-tx196/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Richardson,TX,Richardson Humane Society,Richardson,TX,,https://www.petfinder.com/member/us/tx/richardson/richardson-humane-society-tx196/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76437998,Chanel,Black Mouth Cur,Young,TX265,https://www.petfinder.com/dog/chanel-76437998/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Euless,TX,Euless Animal Services - Trinity GAP Rescue,Euless,TX,817-685-1594,https://www.petfinder.com/member/us/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76437997,Byrdie,Terrier,Young,TX265,https://www.petfinder.com/dog/byrdie-76437997/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Euless,TX,Euless Animal Services - Trinity GAP Rescue,Euless,TX,817-685-1594,https://www.petfinder.com/member/us/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76437996,Kaiser,Cattle Dog,Adult,TX265,https://www.petfinder.com/dog/kaiser-76437996/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Euless,TX,Euless Animal Services - Trinity GAP Rescue,Euless,TX,817-685-1594,https://www.petfinder.com/member/us/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76437999,Little Bit,Terrier,Young,TX265,https://www.petfinder.com/dog/little-bit-76437999/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Euless,TX,Euless Animal Services - Trinity GAP Rescue,Euless,TX,817-685-1594,https://www.petfinder.com/member/us/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
76437995,Kilo,Terrier,Adult,TX265,https://www.petfinder.com/dog/kilo-76437995/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943&utm_source=api&utm_medium=partnership&utm_content=deda927d-98bb-4575-a310-15e501c37943,Euless,TX,Euless Animal Services - Trinity GAP Rescue,Euless,TX,817-685-1594,https://www.petfinder.com/member/us/tx/euless/euless-animal-services-trinity-gap-rescue-tx265/?referrer_id=deda927d-98bb-4575-a310-15e501c37943
