Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A693708,*CHARLIEN,DOG,WHITE,,Female,2013-02-21,2023-02-20,ILL MILD,STRAY,OTC,,2023-02-26,"[2600 BLK LONG BEACH BLVD, LONG BEACH CA, 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8047935,-118.1889261,Alive on Intake,True,0,"33.8047935, -118.1889261"
A595225,,DOG,BLUE MERLE,WHITE,Male,2015-08-12,2017-08-12,NORMAL,STRAY,FIELD,,2017-08-12,"00 BLK 1ST ST, SEAL BEACH,, CA 90740",SEAL BEACH,TRANSFER,SBACC,33.7430361,-118.1136241,Alive on Intake,False,1,"33.7430361, -118.1136241"
A736280,*PETUNIA,DOG,BR BRINDLE,WHITE,Female,2024-12-17,2025-02-01,UNDER AGE/WEIGHT,STRAY,OTC,,2025-02-02,"00 BLK E 52ND, LONG BEACH, CA 90805",LONG BEACH,RESCUE,DOGBONEZ,33.8504761,-118.1951623,Alive on Intake,False,1,"33.8504761, -118.1951623"
A729063,*GIZMO,DOG,BROWN,WHITE,Neutered,2023-09-28,2024-09-26,NORMAL,STRAY,OTC,,2024-10-03,00 BLK W 52ND ST LONG BEACH CA 90805,LONG BEACH,RESCUE,,33.8504646,-118.1953063,Alive on Intake,False,1,"33.8504646, -118.1953063"
A722336,ERE,DOG,WHITE,BLACK,Male,2022-06-06,2024-06-06,NORMAL,STRAY,OTC,,2024-06-13,00 BLK W ADAMS STREET LONG BEACH CA 90805,LONG BEACH,RETURN TO OWNER,WALKIN,33.8698934,-118.2016543,Alive on Intake,False,1,"33.8698934, -118.2016543"
A619091,,DOG,BROWN,WHITE,Male,2015-12-20,2018-12-20,NORMAL,STRAY,OTC,,2018-12-26,"00 BLK W ZANE ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8495009,-118.1949053,Alive on Intake,False,1,"33.8495009, -118.1949053"
A734824,*WINDSOR,DOG,TAN,,Male,2019-12-28,2024-12-28,INJURED  SEVERE,STRAY,FIELD,,2025-01-05,"00 BLOCK W 51ST, LONG BEACH CA 90805",LONG BEACH,RESCUE,SPARKYGANG,33.8488027,-118.1946758,Alive on Intake,False,1,"33.8488027, -118.1946758"
A694726,PUNKIN,DOG,BLACK,BROWN,Female,2020-03-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-24,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,RESCUE,PRCLSSPETS,33.846061,-118.1936055,Alive on Intake,False,1,"33.846061, -118.1936055"
A694743,,DOG,BROWN,WHITE,Unknown,2023-03-15,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-24,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,RESCUE,PRCLSSPETS,33.846061,-118.1936055,Alive on Intake,False,1,"33.846061, -118.1936055"
A664040,*CUPCAKE,DOG,GRAY,WHITE,Spayed,2020-09-18,2021-09-18,NORMAL,STRAY,FIELD,,2021-10-02,"10 BLK E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8557475,-118.1969063,Alive on Intake,False,1,"33.8557475, -118.1969063"
A677069,*LITO,DOG,BROWN,BLACK,Neutered,,2022-06-08,NORMAL,STRAY,OTC,,2022-06-16,"10 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,,33.8703458,-118.2020155,Alive on Intake,False,1,"33.8703458, -118.2020155"
A599028,,DOG,WHITE,TAN,Male,2015-10-20,2017-10-20,NORMAL,STRAY,FIELD,,2017-10-27,"10 W ZANE ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.849502,-118.1953004,Alive on Intake,False,1,"33.849502, -118.1953004"
A661532,HARLEY,DOG,GRAY,BLACK,Female,2019-08-09,2021-08-08,NORMAL,STRAY,FIELD,,2021-08-11,"100 AQUARIUM WAY, LB, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7621679,-118.196966,Alive on Intake,False,1,"33.7621679, -118.196966"
A708530,*MAX,DOG,BLACK,TAN,Neutered,2021-10-10,2023-10-08,NORMAL,STRAY,FIELD,,2024-03-10,"100 AQUARIUM WAY, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WEB,33.7621679,-118.196966,Alive on Intake,False,1,"33.7621679, -118.196966"
A481559,MISTY,DOG,CREAM,TAN,Spayed,2009-11-15,2018-09-16,NORMAL,STRAY,FIELD,,2018-09-16,"100 BENNETT AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.7600589,-118.1432932,Alive on Intake,False,1,"33.7600589, -118.1432932"
A620270,TOBI,DOG,BROWN,WHITE,Neutered,2017-01-13,2019-01-13,NORMAL,STRAY,OTC,,2019-01-13,"100 BLK 57TH ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8581828,-118.1953974,Alive on Intake,False,1,"33.8581828, -118.1953974"
A539869,JIMINI,DOG,BROWN,WHITE,Neutered,2012-03-01,2020-03-01,BEHAVIOR  SEVERE,OWNER SURRENDER,OTC,BITES,2020-04-21,"100 BLK 5TH ST, SEAL BEACH, CA 90740",SEAL BEACH,RESCUE,LIVELOVE,33.7417054,-118.1092321,Alive on Intake,False,1,"33.7417054, -118.1092321"
A733948,UNKNOWN 1,DOG,WHITE,,Male,,2024-12-07,ILL SEVERE,WELFARE SEIZED,CRUELTY,,2024-12-08,100 BLK ALAMITOS AVE,LONG BEACH,EUTHANASIA,AT VET,33.7677623,-118.1825071,Alive on Intake,True,0,"33.7677623, -118.1825071"
A691783,KODA,DOG,BROWN,BLACK,Neutered,2022-03-03,2023-01-13,NORMAL,STRAY,OTC,,2023-03-18,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WEB,33.7677623,-118.1825071,Alive on Intake,False,1,"33.7677623, -118.1825071"
A623053,RED,DOG,RED,WHITE,Neutered,2011-10-04,2019-03-11,BEHAVIOR  MODERATE,OWNER SURRENDER,FIELD,,2019-04-05,"100 BLK ARGONNE AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,BEH SEVERE,33.7580316,-118.1385367,Alive on Intake,True,0,"33.7580316, -118.1385367"
A651197,*ESPRESSO,DOG,BLACK,WHITE,Spayed,2018-11-08,2020-11-08,NORMAL,STRAY,FIELD,,2020-11-30,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSPORT,OTHER SHEL,33.7684106,-118.1846501,Alive on Intake,False,1,"33.7684106, -118.1846501"
A593134,*TUCKER,DOG,BLUE,,Male,2015-07-08,2017-07-08,NORMAL,STRAY,FIELD,,2017-09-01,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,BEH MODERA,33.7672612,-118.1786864,Alive on Intake,True,0,"33.7672612, -118.1786864"
A688625,FLOYD,DOG,BR BRINDLE,,Neutered,2021-12-12,2022-11-12,NORMAL,STRAY,OTC,,2022-11-30,"100 BLK CHERRY AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,,33.7652208,-118.1675969,Alive on Intake,False,1,"33.7652208, -118.1675969"
A605399,HAPPY,DOG,TAN,,Neutered,2007-03-27,2018-03-27,INJURED  MILD,STRAY,ABAN FIELD,,2018-03-31,"100 BLK CHERRY AVE, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7652208,-118.1675969,Alive on Intake,True,0,"33.7652208, -118.1675969"
A659949,JUNEAU,DOG,WHITE,,Neutered,2017-07-05,2021-07-05,NORMAL,STRAY,FIELD,,2021-07-05,"100 BLK CORONA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.7571582,-118.1362348,Alive on Intake,False,1,"33.7571582, -118.1362348"
A537868,SIERRA-CRYSTAL,DOG,WHITE,,Female,2011-12-10,2018-12-19,NORMAL,STRAY,FIELD,,2018-12-20,"100 BLK COVINA AVE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7568894,-118.1358057,Alive on Intake,False,1,"33.7568894, -118.1358057"
A724263,MOLLY,DOG,WHITE,,Female,2016-07-09,2024-07-09,ILL SEVERE,STRAY,FIELD,,2024-07-10,"100 BLK DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,FROM VET,33.8465824,-118.1980555,Alive on Intake,False,1,"33.8465824, -118.1980555"
A668385,BEETHOVEN,DOG,WHITE,,Male,2020-12-23,2021-12-23,NORMAL,STRAY,OTC,,2021-12-24,"100 BLK E 10TH ST, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,33.7789674,-118.1923842,Alive on Intake,False,1,"33.7789674, -118.1923842"
A638627,MEWALI,DOG,BR BRINDLE,,Neutered,2015-01-16,2020-01-16,ILL SEVERE,STRAY,OTC,,2020-01-25,"100 BLK E 28TH ST, LONG BEACH CA 90802",LONG BEACH,ADOPTION,WALKIN,33.808011,-118.1923877,Alive on Intake,False,1,"33.808011, -118.1923877"
A712284,*MARY,DOG,WHITE,BROWN,Female,2020-12-26,2023-12-26,I/I REPORT,STRAY,OTC,,2023-12-29,"100 BLK E 28TH ST, LONG BEACH, CA 90806",LONG BEACH,RESCUE,,33.808011,-118.1923877,Alive on Intake,False,1,"33.808011, -118.1923877"
A728720,*STRUDEL,DOG,BLACK,BROWN,Spayed,2017-09-20,2024-09-20,NORMAL,STRAY,OTC,,2024-09-27,100 BLK E 28TH STREET LONG BEACH CA 90806,LONG BEACH,ADOPTION,WEB,33.808027,-118.192408,Alive on Intake,False,1,"33.808027, -118.192408"
A628223,*ANNIE,DOG,BROWN,,Female,2015-06-13,2019-06-13,INJURED  MODERATE,STRAY,FIELD,,2019-07-02,"100 BLK E 36TH ST, LONG BEACH, CA 90807",LONG BEACH,RESCUE,FIXLB,33.82216349999999,-118.1926399,Alive on Intake,False,1,"33.82216349999999, -118.1926399"
A456901,FLUFFY,DOG,BLACK,WHITE,Spayed,2007-01-08,2019-11-02,ILL SEVERE,OWNER SURRENDER,OTC,NO TIME,2019-11-06,"100 BLK E 57TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,33.8581828,-118.1953974,Alive on Intake,False,1,"33.8581828, -118.1953974"
A676443,*BUGZ,DOG,BROWN,,Neutered,2020-06-04,2022-06-03,NORMAL,STRAY,OTC,,2022-06-09,"100 BLK E 5TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,,33.7739773,-118.191797,Alive on Intake,False,1,"33.7739773, -118.191797"
A732890,*DORIAN,DOG,BLACK,WHITE,Neutered,2020-11-19,2024-11-19,I/I REPORT,STRAY,FIELD,,2024-11-27,"100 BLK E 67TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8759962,-118.2032146,Alive on Intake,False,1,"33.8759962, -118.2032146"
A605131,*POLLY,DOG,TAN,,Spayed,2018-02-11,2018-03-22,UNDER AGE/WEIGHT,STRAY,OTC,,2018-06-01,"100 BLK E 68TH WAY, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,33.8782977,-118.202541,Alive on Intake,False,1,"33.8782977, -118.202541"
A688795,MARU,DOG,WHITE,,Male,2014-11-16,2022-11-16,ILL MILD,OWNER SURRENDER,OTC,ILL,2023-01-09,"100 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,BEH SEVERE,33.8799165,-118.2025639,Alive on Intake,True,0,"33.8799165, -118.2025639"
A659661,*TACO,DOG,BROWN,WHITE,Neutered,2019-06-30,2021-06-30,INJURED  MILD,STRAY,FIELD,,2021-07-18,"100 BLK E ADAIR ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8639455,-118.1925682,Alive on Intake,False,1,"33.8639455, -118.1925682"
A621523,MAX,DOG,BROWN,WHITE,Neutered,2015-02-09,2020-03-07,BEHAVIOR  MODERATE,OWNER SURRENDER,OTC,AGG ANIMAL,2020-04-18,"100 BLK E CAMERON PL, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LIVELOVE,33.8230067,-118.1925266,Alive on Intake,False,1,"33.8230067, -118.1925266"
A428390,BUBBLES,DOG,BLACK,,Spayed,2009-08-25,2018-05-14,NORMAL,STRAY,FIELD,,2018-05-18,"100 BLK E DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8465498,-118.1937565,Alive on Intake,False,1,"33.8465498, -118.1937565"
A706704,,DOG,TAN,,Female,2018-09-12,2023-09-12,INJURED  SEVERE,STRAY,FIELD,,2023-09-13,"100 BLK E DEL AMO, LB 90805",LONG BEACH,EUTHANASIA,AT VET,33.8465498,-118.1937565,Alive on Intake,True,0,"33.8465498, -118.1937565"
A669079,ROCKY,DOG,GRAY,WHITE,Neutered,,2022-01-10,NORMAL,STRAY,FIELD,,2022-02-09,"100 BLK E EAGLE ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,33.7996711,-118.1923808,Alive on Intake,False,1,"33.7996711, -118.1923808"
A591991,,DOG,WHITE,BROWN,Female,2015-06-16,2017-06-16,NORMAL,STRAY,FIELD,,2017-06-22,"100 BLK E GORDON ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8649109,-118.1998867,Alive on Intake,False,1,"33.8649109, -118.1998867"
A721541,DIOR,DOG,BROWN,,Female,2019-05-25,2024-05-25,INJURED  MODERATE,STRAY,FIELD,,2024-05-28,100 BLK E MARKET ST,LONG BEACH,EUTHANASIA,INJ SEVERE,33.85405009999999,-118.1935729,Alive on Intake,True,0,"33.85405009999999, -118.1935729"
A729228,*HARPER,DOG,FAWN,,Female,2023-10-02,2024-10-02,INJURED  SEVERE,STRAY,FIELD,,2024-10-06,"100 BLK E MARKET ST, LB 90805",LONG BEACH,RESCUE,FRDMFRNCH,33.85405009999999,-118.1935729,Alive on Intake,False,1,"33.85405009999999, -118.1935729"
A668733,TINY,DOG,BROWN,WHITE,Male,2020-12-31,2021-12-31,ILL SEVERE,OWNER SURRENDER,OTC,COST,2021-12-31,"100 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8540693,-118.1935615,Alive on Intake,True,0,"33.8540693, -118.1935615"
A585714,*STELLA,DOG,BLACK,WHITE,Female,2016-02-12,2017-02-12,NORMAL,STRAY,FIELD,,2017-02-18,"100 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8540693,-118.1935615,Alive on Intake,False,1,"33.8540693, -118.1935615"
A613864,ODIE,DOG,BLACK,WHITE,Male,2013-08-30,2018-08-30,NORMAL,STRAY,OTC,,2018-09-09,"100 BLK E NEECE ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8719806,-118.2019785,Alive on Intake,False,1,"33.8719806, -118.2019785"
A738230,PUPPY,DOG,BLACK,,Female,2025-01-16,2025-03-16,UNDER AGE/WEIGHT,STRAY,OTC,,2025-03-25,"100 BLK E NORTON ST, LONG BEACH, CA 90805",SIGNAL HILL,RESCUE,PRCLSSPETS,33.8583884,-118.1898534,Alive on Intake,False,1,"33.8583884, -118.1898534"
A738227,PUPPY,DOG,BLACK,,Male,2025-01-16,2025-03-16,UNDER AGE/WEIGHT,STRAY,OTC,,2025-03-25,"100 BLK E NORTON ST, LONG BEACH, CA 90805",SIGNAL HILL,RESCUE,PRICELESSP,33.8583884,-118.1898534,Alive on Intake,False,1,"33.8583884, -118.1898534"
A606752,,DOG,TAN,WHITE,Male,2017-11-26,2018-04-26,NORMAL,STRAY,FIELD,,2018-05-02,"100 BLK E OSGOOD ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8634376,-118.1939327,Alive on Intake,False,1,"33.8634376, -118.1939327"
A694380,FAST,DOG,BROWN,WHITE,Neutered,2020-03-08,2023-03-08,NORMAL,WELFARE SEIZED,POLICE,,2023-03-15,100 BLK E PACIFIC COAST,LONG BEACH,RETURN TO OWNER,WALKIN,33.789591,-118.1920452,Alive on Intake,False,1,"33.789591, -118.1920452"
A355980,MIA,DOG,BROWN,,Spayed,2009-02-23,2017-06-28,NORMAL,STRAY,FIELD,,2017-06-28,"100 BLK E PLATT ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8509978,-118.1935457,Alive on Intake,False,1,"33.8509978, -118.1935457"
A684764,*HANDSOME,DOG,BROWN,WHITE,Neutered,2021-09-22,2022-09-22,NORMAL,STRAY,FIELD,,2022-10-19,"100 BLK E SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,,33.8619449,-118.1950878,Alive on Intake,False,1,"33.8619449, -118.1950878"
A630899,OREA,DOG,BLACK,WHITE,Female,2017-07-29,2019-07-29,NORMAL,OWNER SURRENDER,FIELD,MOVE,2019-07-30,"100 BLK E WILLARD ST, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7945979,-118.1923718,Alive on Intake,False,1,"33.7945979, -118.1923718"
A692569,*JOJO SIWA,DOG,WHITE,CREAM,Female,2022-01-28,2023-01-28,NORMAL,STRAY,OTC,,2023-02-03,"100 BLK E. 28TH ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,,33.808011,-118.1923877,Alive on Intake,False,1,"33.808011, -118.1923877"
A690352,JACK,DOG,WHITE,,Male,,2022-12-10,NORMAL,STRAY,OTC,,2022-12-15,"100 BLK E. LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8549875,-118.1934587,Alive on Intake,False,1,"33.8549875, -118.1934587"
