animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A721918,,WILD,GRAY,BLACK,Unknown,,2024-05-30,INJURED  MODERATE,WILDLIFE,FIELD,,2024-05-30,",.5000 AIRPORT PLAZA DR, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,LBAH,33.8071004,-118.1345647,Alive on Intake,FALSE,1,"{'lon': -118.1345647, 'lat': 33.8071004}"
A700840,*PIPPY,CAT,BLACK,WHITE,Male,2023-06-01,2023-06-14,UNDER AGE/WEIGHT,STRAY,OTC,,2023-06-15,+4900 BLK GRISHAM AVE LONG BEACH 90805,LONG BEACH,RESCUE,LITTLEPAWS,33.8449089,-118.1940398,Alive on Intake,FALSE,1,"{'lon': -118.1940398, 'lat': 33.8449089}"
A646450,,BIRD,WHITE,GRAY,Unknown,2019-07-31,2020-07-31,INJURED  MODERATE,WILDLIFE,OTC,,2020-07-31,"0 7TH PL, LONG BEACH, CA 90802",LONG BEACH,RESCUE,IBR,33.7654884,-118.1760301,Alive on Intake,FALSE,1,"{'lon': -118.1760301, 'lat': 33.7654884}"
A707681,,CAT,GRAY TABBY,,Unknown,2023-03-27,2023-09-27,INJURED  MODERATE,STRAY,FIELD,,2023-09-27,0 BLK E LOUISE,LONG BEACH,EUTHANASIA,INJ SEVERE,33.8550845,-118.1969706,Alive on Intake,TRUE,0,"{'lon': -118.1969706, 'lat': 33.8550845}"
A593145,,CAT,GRAY,,Female,2017-05-08,2017-07-08,FERAL,STRAY,FIELD,,2017-07-24,"0 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A608487,*TAYLOR,CAT,GRAY,,Spayed,2017-05-27,2018-05-27,NORMAL,OWNER SURRENDER,OTC,,2018-06-08,"0 BLK W HOME ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,33.8479781,-118.1957802,Alive on Intake,FALSE,1,"{'lon': -118.1957802, 'lat': 33.8479781}"
A738923,KITTEN 3,CAT,CALICO,,Female,2025-02-03,2025-04-03,NORMAL,STRAY,OTC,,2025-04-06,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,FALSE,1,"{'lon': -118.1958567, 'lat': 33.8523872}"
A673343,CHOO CHOO,DOG,BLACK,BROWN,Male,2020-04-20,2023-03-01,NORMAL,STRAY,OTC,,2023-04-15,"00 BLK 65TH ST, LONG BEACH",LONG BEACH,RESCUE,GISSELLES,33.7471327,-118.1214077,Alive on Intake,FALSE,1,"{'lon': -118.1214077, 'lat': 33.7471327}"
A653662,,OTHER,GRAY,,Unknown,,2021-02-03,ILL SEVERE,WILDLIFE,FIELD,,2021-02-03,"00 BLK E 60TH PL, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7488887,-118.1239767,Alive on Intake,TRUE,0,"{'lon': -118.1239767, 'lat': 33.7488887}"
A721309,*TONA,CAT,GRAY TABBY,,Spayed,2024-03-20,2024-05-22,NORMAL,OWNER SURRENDER,OTC,COST,2024-06-20,00 BLK E 68TH WAY LONG BEACH CA 90805,LONG BEACH,ADOPTION,PFE/PAWSHP,33.8784962,-118.2039496,Alive on Intake,FALSE,1,"{'lon': -118.2039496, 'lat': 33.8784962}"
A619994,,DOG,BLACK,BROWN,Female,2016-01-09,2019-01-09,ILL MODERATETE,STRAY,FIELD,,2019-01-15,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8801147,-118.20443,Alive on Intake,FALSE,1,"{'lon': -118.20443, 'lat': 33.8801147}"
A597463,,CAT,GRAY,,Unknown,2017-08-21,2017-09-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,FALSE,1,"{'lon': -118.20443, 'lat': 33.8801147}"
A597466,,CAT,GRAY TABBY,,Unknown,2017-08-21,2017-09-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,FALSE,1,"{'lon': -118.20443, 'lat': 33.8801147}"
A739630,,CAT,BLACK,,Male,2025-03-23,2025-04-19,ILL MILD,STRAY,OTC,,2025-04-21,"00 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A735847,*ELENA,CAT,TORTIE DIL,,Spayed,2023-01-22,2025-01-22,NORMAL,STRAY,OTC,,2025-03-03,"00 BLK LIME AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,OTHER RESC,33.7662974,-118.1836035,Alive on Intake,FALSE,1,"{'lon': -118.1836035, 'lat': 33.7662974}"
A645492,,BIRD,BROWN,BLACK,Unknown,,2020-07-14,INJURED  SEVERE,WILDLIFE,FIELD,,2020-07-15,"00 BLK VISTA DEL GOLFO, LONG BEACH, CA 90803",LONG BEACH,RESCUE,IBR,33.7529151,-118.118231,Alive on Intake,FALSE,1,"{'lon': -118.118231, 'lat': 33.7529151}"
