Shelter ID,name,email,phone,url,website,mission_statement,photos,distance,address.address1,address.address2,address.city,address.state,address.postcode,address.country,hours.monday,hours.tuesday,hours.wednesday,hours.thursday,hours.friday,hours.saturday,hours.sunday,adoption.policy,adoption.url,social_media.facebook,social_media.twitter,social_media.youtube,social_media.instagram,social_media.pinterest,_links.self.href,_links.animals.href
TX26,City of Fort Worth Animal Shelter,fwaccadopt@fortworthtexas.gov,(817) 392-1234,https://www.petfinder.com/member/us/tx/fort-worth/city-of-fort-worth-animal-shelter-tx26/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,http://www.fortworthtexas.gov/animals,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38230/1/?bust=1511999296&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38230/1/?bust=1511999296&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38230/1/?bust=1511999296&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38230/1/?bust=1511999296'}]",,4900 Martin Street,,Fort Worth,TX,76119,US,12p-6p,12p-6p,12p-6p,12p-6p,12p-6p,12p-6p,12p-6p,,,http://www.facebook.com/fortworthacc/,https://twitter.com/fortworthacc,,http://www.instagram.com/fortworthacc,,/v2/organizations/tx26,/v2/animals?organization=tx26
TX2797,"Roams To Homes Animal Rescue, Inc.",roamstohomes@gmail.com,,https://www.petfinder.com/member/us/tx/conroe/roams-to-homes-animal-rescue-inc-tx2797/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://roamstohomes.com,"Roams to Homes Rescue, a 501(c)(3) nonprofit, is dedicated to advocating for homeless pets in our community by connecting them...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/2/?bust=1704432020&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/2/?bust=1704432020&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/2/?bust=1704432020&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/2/?bust=1704432020'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/1/?bust=1704432116&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/1/?bust=1704432116&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/1/?bust=1704432116&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53665/1/?bust=1704432116'}]",,,,Conroe,TX,77301,US,,,,,,,,Our adoption process requires an application for meet and greets and consideration for adoption.  Applicants complete a screening process including...,https://roamstohomes.com/dog-adoption-application/,https://www.facebook.com/RoamstoHomesAnimalRescue,,,https://www.instagram.com/roamstohomes/?fbclid=IwAR3CB9cSV_UJy0DWZZH5jJUpnnKt5Fo2tEIE2w3mr3iXYJYdC1p5JLWlK7I,,/v2/organizations/tx2797,/v2/animals?organization=tx2797
TX2780,Raising The Bar Animal Rescue,RaisingTheBarRescue@gmail.com,,https://www.petfinder.com/member/us/tx/colleyville/raising-the-bar-animal-rescue-tx2780/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://raisingthebaranimalrescue.org/,Our mission is to rescue animals that are subject to euthanasia from city shelters merely due to overcrowding and lack...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53496/1/?bust=1698522553&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53496/1/?bust=1698522553&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53496/1/?bust=1698522553&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53496/1/?bust=1698522553'}]",,,,Colleyville,TX,76034,US,,,,,,,,,https://www.shelterluv.com/matchme/adopt/RTB/Dog,https://www.facebook.com/RaisingTheBarAnimalRescue,,https://www.youtube.com/@RaisingTheBarAnimalRescue,https://instagram.com/raisingthebarrescue,,/v2/organizations/tx2780,/v2/animals?organization=tx2780
TX2625,7 Pups from the Pines TX,7PupsfromthePinesTX@gmail.com,,https://www.petfinder.com/member/us/tx/scroggins/7-pups-from-the-pines-tx-tx2625/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://linktr.ee/7pupsfromthepines,7 Pups from the Pines vision is to encourage and empower a progressive community that sets the standard for animal...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/5/?bust=1700512820&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/5/?bust=1700512820&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/5/?bust=1700512820&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/5/?bust=1700512820'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/2/?bust=1656631921&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/2/?bust=1656631921&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/2/?bust=1656631921&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/2/?bust=1656631921'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/3/?bust=1656632030&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/3/?bust=1656632030&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/3/?bust=1656632030&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/3/?bust=1656632030'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/4/?bust=1656632070&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/4/?bust=1656632070&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/4/?bust=1656632070&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/4/?bust=1656632070'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/6/?bust=1656632245&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/6/?bust=1656632245&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/6/?bust=1656632245&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/6/?bust=1656632245'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/1/?bust=1700512902&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/1/?bust=1700512902&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/1/?bust=1700512902&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/52121/1/?bust=1700512902'}]",,,,Scroggins,TX,75480,US,,,,,,,,Thank you for your interest in adopting from 7 Pups from the Pines! We sincerely appreciate your decision to adopt...,https://docs.google.com/forms/d/e/1FAIpQLSfzsAYSvgCeagBUQvmLa48vPGQLjEk7BxE9pfF87A-ODSGmMg/viewform?usp=send_form,https://www.facebook.com/7PupsfromthePinesTX,,,https://www.instagram.com/7pupsfromthepinestx/?hl=en,,/v2/organizations/tx2625,/v2/animals?organization=tx2625
TX1382,Rockwall Animal Adoption Center,info@rockwalladoptions.com,972-771-7750   ,https://www.petfinder.com/member/us/tx/rockwall/rockwall-animal-adoption-center-tx1382/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,,"Our team is dedicated to helping animals who are unwanted, abandoned, surrendered or lost. We focus on finding these loyal...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38043/1/?bust=1524240587&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38043/1/?bust=1524240587&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38043/1/?bust=1524240587&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38043/1/?bust=1524240587'}]",,1825 Airport Road,,Rockwall,TX,75087,US,,,,,,,,"1825 Airport Rd. Rockwall, TX 75087

972-771-7750 ext. 1

info@rockwalladoptions.com

www.rockwalladoptions.com",,,,,,,/v2/organizations/tx1382,/v2/animals?organization=tx1382
TX1730,Dallas Pets Alive,adopt@dallaspetsalive.org,(325) 225-5372,https://www.petfinder.com/member/us/tx/dallas/dallas-pets-alive-tx1730/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://dallaspetsalive.org,"Our mission is to promote and provide the resources, education and programs needed to eliminate the killing of companion animals...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/2/?bust=1650482016&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/2/?bust=1650482016&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/2/?bust=1650482016&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/2/?bust=1650482016'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/1/?bust=1650481521&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/1/?bust=1650481521&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/1/?bust=1650481521&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42733/1/?bust=1650481521'}]",,,,Dallas,TX,75219,US,,,,,,,,"To adopt a pet from Dallas Pets Alive!, you must:

— Be at least 18 years of age.

— Be...",https://dallaspetsalive.org/adopt/,https://www.facebook.com/DallasPetsAlive/,https://twitter.com/dallaspetsalive,https://www.youtube.com/c/DallasPetsAlive/,https://www.instagram.com/dallaspetsalive/,,/v2/organizations/tx1730,/v2/animals?organization=tx1730
TX198,SPCA of Texas-Dallas,spca@spca.org,(214) 742-7722,https://www.petfinder.com/member/us/tx/dallas/spca-of-texas-dallas-tx198/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://www.spca.org,The SPCA of Texas is dedicated to providing every animal exceptional care and a loving home.,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38190/1/?bust=1509391271&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38190/1/?bust=1509391271&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38190/1/?bust=1509391271&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38190/1/?bust=1509391271'}]",,2400 Lone Star Drive,,Dallas,TX,75207,US,12:00 - 6:00,12:00 - 6:00,12:00 - 6:00,12:00 - 6:00,12:00 - 6:00,12:00 - 6:00,12:00 - 6:00,,,https://www.facebook.com/spcaoftexaspage,https://twitter.com/spcaoftexas,https://www.youtube.com/spcaoftexas,https://www.instagram.com/spcatexas,,/v2/organizations/tx198,/v2/animals?organization=tx198
TX190,"Texas Great Pyrenees Rescue, Inc.",info@txpyrs.org,(877) 746-9508,https://www.petfinder.com/member/us/tx/quinlan/texas-great-pyrenees-rescue-inc-tx190/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://tgpr.org,"TGPR is dedicated to community education about Great Pyrenees dogs, and the rescue, care, and responsible adoption of Great Pyrenees...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38185/3/?bust=1652670726&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38185/3/?bust=1652670726&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38185/3/?bust=1652670726&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/38185/3/?bust=1652670726'}]",,,,Quinlan,TX,75474,US,,,,,,,,"In processing an application, we contact veterinarians to verify that all current pets are up to date on vaccinations and...",https://airtable.com/shrAprPeO6fH0MRPC,https://www.facebook.com/groups/TexasGreatPyrRescue/,,,https://www.instagram.com/txpyrs/,,/v2/organizations/tx190,/v2/animals?organization=tx190
RI151,Altruistic Dog Rescue,hello.altruisticrescue@gmail.com,,https://www.petfinder.com/member/us/ri/warren/altruistic-dog-rescue-ri151/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://www.altruisticrescue.org,"At Altruistic Dog Rescue, our mission is to rescue dogs from kill shelters, bad circumstances, and undesirable conditions, while also...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53890/1/?bust=1711408279&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53890/1/?bust=1711408279&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53890/1/?bust=1711408279&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/53890/1/?bust=1711408279'}]",,,,Warren,RI,02885,US,,,,,,,,"We interview potential adopters, call their references (both personal and veterinary) and we then do meet and greets with foster...",https://www.shelterluv.com/matchme/adopt/ADR/Dog,https://www.facebook.com/profile.php?id=61554761247641,,,https://www.instagram.com/altruisticrescue,,/v2/organizations/ri151,/v2/animals?organization=ri151
TX2831,GSD Rescue and HCEC,,(405) 202-2932,https://www.petfinder.com/member/us/tx/austin/gsd-rescue-and-hcec-tx2831/?referrer_id=deda927d-98bb-4575-a310-15e501c37943,https://www.holisticgsdrescue.com/,"We help GSDs out of bad situations, rehabilitate them and find good homes. We are 501c3 organization.",[],,,,Austin,TX,78709,US,,,,,,,,"We ask for an adoption application, vet potential adopters and then sign a contract",https://docs.google.com/forms/d/e/1FAIpQLSe3C1bziCOWzmpNl3IOg5K5cqbsTcuRskEm8tb67oe2F8-TEw/viewform,https://www.facebook.com/profile.php?id=100091783494500&mibextid=LQQJ4d,,,,,/v2/organizations/tx2831,/v2/animals?organization=tx2831
